Reference	HEK293_PSI_Rep1	HEK293_PSI_Rep2	HEK293_WT_PSI_Rep1	HEK293_WT_PSI_Rep2	HeLa_PSI_Rep1	HeLa_PSI_Rep2	K562_PSI_Rep1	K562_PSI_Rep2	MCF7_PSI_Rep1	MCF7_PSI_Rep2	HMC3_PSI_Rep1	HMC3_PSI_Rep2
146692	0.10043668122270742	0.27898550724637683	-1.0	-1.0	0.46745562130177515	0.3103448275862069	0.4722222222222222	0.6233766233766234	0.5232558139534884	0.6290322580645161	0.6622516556291391	0.6858638743455497
146695	0.06896551724137931	0.12	-1.0	-1.0	0.2631578947368421	0.16666666666666666	0.1875	0.45	0.3076923076923077	0.5	0.575	0.6458333333333334
146697	0.7132616487455197	0.8291571753986332	-1.0	-1.0	0.9311594202898551	0.9615384615384616	0.9063670411985019	0.968	0.8506493506493507	0.8879310344827587	0.9701986754966887	0.9676375404530745
146706	0.5119617224880383	0.60546875	-1.0	-1.0	0.6942675159235668	0.9166666666666666	0.6847826086956522	0.8045977011494253	0.6910569105691057	0.746268656716418	0.896551724137931	0.8830645161290323
146708	0.32558139534883723	0.5581395348837209	-1.0	-1.0	0.6756756756756757	0.8	0.6698113207547169	0.9322033898305084	0.7526881720430108	0.7727272727272727	0.8787878787878788	0.795774647887324
146715	0.391304347826087	0.5641025641025641	-1.0	-1.0	0.7428571428571429	-1.0	0.6190476190476191	0.896551724137931	0.6956521739130435	0.38461538461538464	0.95	0.8596491228070176
146718	0.30666666666666664	0.33587786259541985	-1.0	-1.0	0.5894736842105263	0.5161290322580645	0.37606837606837606	0.425	0.42028985507246375	0.3673469387755102	0.7483443708609272	0.6141732283464567
146726	0.6	0.7578947368421053	-1.0	-1.0	0.8666666666666667	0.95	0.9213483146067416	0.9487179487179487	0.7755102040816326	0.8809523809523809	0.975	1.0
146728	0.5949367088607594	0.7347560975609756	-1.0	-1.0	0.9017341040462428	0.8571428571428571	0.7894736842105263	0.9885057471264368	0.7777777777777778	0.75	0.9482758620689655	0.9319371727748691
146731	0.7183098591549296	0.8661417322834646	-1.0	-1.0	0.9090909090909091	1.0	0.9733333333333334	1.0	0.8636363636363636	0.9354838709677419	0.9852941176470589	0.978494623655914
146732	0.4409448818897638	0.6956521739130435	-1.0	-1.0	0.7281553398058253	0.76	0.7266666666666667	0.7727272727272727	0.7341772151898734	0.8	0.9339622641509434	0.9172932330827067
146742	0.4661016949152542	0.42857142857142855	-1.0	-1.0	0.5966386554621849	0.7692307692307693	0.5517241379310345	0.6274509803921569	0.5529411764705883	0.5714285714285714	0.8053097345132744	0.8333333333333334
146743	0.3016949152542373	0.44956140350877194	-1.0	-1.0	0.6417445482866043	0.7058823529411765	0.5169230769230769	0.7284768211920529	0.6241610738255033	0.6857142857142857	0.8075471698113208	0.8481848184818482
146744	0.4039408866995074	0.549618320610687	-1.0	-1.0	0.6809815950920245	0.825	0.628140703517588	0.7752808988764045	0.5975609756097561	0.5882352941176471	0.9192546583850931	0.8875739644970414
