motif314	Ornament:QKI_7mer_logoM262/CISBP:QKI_M262_0.6
motif315	Ornament:QKI_7mer_logoM046/Attract:QKI_M046_0.6/Ray2013:RNCMPT00047_QKI/CISBP:QKI_M046_0.6
motif316	Ornament:ELAVL4_7mer_logo2
motif317	Ornament:PTBP1_7mer_logoM228/Ray2013:RNCMPT00269_PTBP1/CISBP:PTBP1_M228_0.6
motif318	Ornament:PTBP1_7mer_logoM227/Attract:PTBP1_M227_0.6/Ray2013:RNCMPT00268_PTBP1/CISBP:PTBP1_PTBP2_ROD1_M227_0.6
motif319	Ornament:PPRC1_7mer_logoM044/Attract:PPRC1_M044_0.6/Ray2013:RNCMPT00045_PPRC1/CISBP:PPRC1_M044_0.6
motif320	Ornament:ESRP1_7mer_logo2
motif321	Ornament:pcbp2_7mer_logoM211
motif322	Ornament:PCBP2_7mer_logoM043/Attract:PCBP2_M043_0.6/Ray2013:RNCMPT00044_PCBP2/CISBP:PCBP2_M043_0.6
motif323	Ornament:PCBP1_7mer_logoM177/Attract:PCBP1_M177_0.6/Ray2013:RNCMPT00186_PCBP1/CISBP:PCBP1_M177_0.6
motif324	Ornament:papi_7mer_logoM011
motif325	Ornament:PABPN1_7mer_logoM148/Attract:PABPN1_M148_0.6/Ray2013:RNCMPT00157_PABPN1/CISBP:PABPN1_PABPN1L_M148_0.6
motif326	Ornament:PABPC5_7mer_logoM162/Attract:PABPC5_M162_0.6/Ray2013:RNCMPT00171_PABPC5/CISBP:PABPC5_M162_0.6
motif327	Ornament:PABPC4_7mer_logoM042/Attract:PABPC4_M042_0.6/Ray2013:RNCMPT00043_PABPC4/CISBP:PABPC4_ENSG00000250177_M042_0.6
motif328	Ornament:PABPC3_7mer_logoM144/Attract:PABPC3_M144_0.6/Ray2013:RNCMPT00153_PABPC3/CISBP:PABPC3_M144_0.6
motif329	Ornament:ESRP1_7mer_logo1
motif330	Ornament:PABPC1_7mer_logoM349/CISBP:PABPC1_M349_0.6
motif331	Ornament:PABPC1_7mer_logoM146/Attract:PABPC1_M146_0.6/Ray2013:RNCMPT00155_PABPC1/CISBP:PABPC1_PABPC1L_M146_0.6
motif332	Ornament:MSI1_7mer_logoM167/Attract:MSI1_M167_0.6/Ray2013:RNCMPT00176_MSI1/CISBP:MSI1_M167_0.6
motif333	Ornament:MSI1_7mer_logoM040/Attract:MSI1_M040_0.6/Ray2013:RNCMPT00041_MSI1/CISBP:MSI1_MSI2_M040_0.6
motif334	Ornament:ESRP1_7mer_logo0
motif335	Ornament:MBNL1_7mer_logoM037/Attract:MBNL1_M037_0.6/Ray2013:RNCMPT00038_MBNL1/CISBP:MBNL3_MBNL2_MBNL1_M037_0.6
motif336	Ornament:MATR3_7mer_logoM036/Attract:MATR3_M036_0.6/Ray2013:RNCMPT00037_MATR3/CISBP:MATR3_M036_0.6
motif337	Ornament:EWSR1_7mer_logo3
motif338	Ornament:LIN28A_7mer_logoM153/Attract:LIN28A_M153_0.6/Ray2013:RNCMPT00162_LIN28A/CISBP:LIN28A_M153_0.6
motif339	Ornament:LIN28A_7mer_logoM035/Attract:LIN28A_M035_0.6/Ray2013:RNCMPT00036_LIN28A/CISBP:LIN28A_LIN28B_M035_0.6
motif340	Ornament:KHDRBS2_7mer_logoM176/Attract:KHDRBS2_M176_0.6/Ray2013:RNCMPT00185_KHDRBS2/CISBP:KHDRBS2_M176_0.6
motif341	Ornament:KHDRBS1_7mer_logoM160/Attract:KHDRBS1_M160_0.6/Ray2013:RNCMPT00169_KHDRBS1/CISBP:KHDRBS1_M160_0.6
motif342	Ornament:Khdrbs1_7mer_logoM060
motif343	Ornament:IGF2BP3_7mer_logoM163/Attract:IGF2BP3_M163_0.6/Ray2013:RNCMPT00172_IGF2BP3/CISBP:IGF2BP3_M163_0.6
motif344	Ornament:EWSR1_7mer_logo2
motif345	Ornament:IGF2BP2_7mer_logoM032/Attract:IGF2BP2_M032_0.6/Ray2013:RNCMPT00033_IGF2BP2/CISBP:IGF2BP2_M032_0.6
motif346	Ornament:hnRNPLL_7mer_logoM169/Attract:HNRNPLL_M169_0.6/Ray2013:RNCMPT00178_HNRPLL/CISBP:hnRNPLL_M169_0.6
motif347	Ornament:EWSR1_7mer_logo1
motif348	Ornament:HNRNPL_7mer_logoM089/Attract:HNRNPL_M089_0.6/Ray2013:RNCMPT00091_HNRNPL/CISBP:HNRNPL_ENSG00000215042_M089_0.6
motif349	Ornament:HNRNPL_7mer_logoM027/Attract:HNRNPL_M027_0.6/Ray2013:RNCMPT00027_HNRNPL/CISBP:HNRNPL_M027_0.6
motif350	Ornament:hnRNPK_7mer_logoM026/Attract:HNRNPK_M026_0.6/Ray2013:RNCMPT00026_HNRNPK/CISBP:hnRNPK_M026_0.6
motif351	Ornament:HNRNPH2_7mer_logoM151/Attract:HNRNPH2_M151_0.6/Ray2013:RNCMPT00160_HNRNPH2/CISBP:HNRNPH2_HNRNPH1_HNRNPF_M151_0.6
motif352	Ornament:HNRNPCL1_7mer_logoM158/Attract:HNRNPCL1_M158_0.6/Ray2013:RNCMPT00167_HNRNPCL1/CISBP:HNRNPCL1_M158_0.6
motif353	Ornament:HNRNPC_7mer_logoM025/Attract:HNRNPC_M025_0.6/Ray2013:RNCMPT00025_HNRNPC/CISBP:HNRNPC_M025_0.6
motif354	Ornament:HNRNPAB_7mer_logoM210/CISBP:HNRPDL_M210_0.6
motif355	Ornament:HNRNPA2B1_7mer_logoM024/Attract:HNRNPA2B1_M024_0.6/Ray2013:RNCMPT00024_HNRNPA2B1/CISBP:HNRNPA2B1_M024_0.6
motif356	Ornament:HNRNPA1L2_7mer_logoM023/Attract:HNRNPA1L2_M023_0.6/Ray2013:RNCMPT00023_HNRNPA1L2/CISBP:HNRNPA1L2_M023_0.6
motif357	Ornament:HNRNPA1_7mer_logoM022/Attract:HNRNPA1_M022_0.6/Ray2013:RNCMPT00022_HNRNPA1/CISBP:HNRNPA1_HNRNPA3_ENSG00000215492_ENSG00000231942_M022_0.6
motif358	Ornament:EWSR1_7mer_logo0
motif359	Ornament:G3BP2_7mer_logoM021/Attract:G3BP2_M021_0.6/Ray2013:RNCMPT00021_G3BP2/CISBP:G3BP2_M021_0.6
motif360	Ornament:FXR2_7mer_logoM020/Attract:FXR2_M020_0.6/Ray2013:RNCMPT00020_FXR2/CISBP:FXR2_M020_0.6
motif361	Ornament:Fusip1_7mer_logoM088/Attract:SRSF10_M088_0.6/Ray2013:RNCMPT00090_SRSF10/CISBP:Fusip1_M088_0.6
motif362	Ornament:Fusip1_7mer_logoM087/Attract:SRSF10_M087_0.6/Ray2013:RNCMPT00089_SRSF10/CISBP:Fusip1_M087_0.6
motif363	Ornament:Fusip1_7mer_logoM086/Attract:SRSF10_M086_0.6/Ray2013:RNCMPT00088_SRSF10/CISBP:Fusip1_M086_0.6
